"","scenario","climate.gcm","rcp","decade","manage.cost.rxfire.timberrev.transport.net_mean","manage.cost.rxfire.timberrev.transport.net_sd","all.costs.manage.timber.transport.rx.wildfire_mean","all.costs.manage.timber.transport.rx.wildfire_sd","wildfire.cost_mean","wildfire.cost_sd","chips.green.to.gen.mtons_mean","chips.green.to.gen.mtons_sd","timber.biomass.rev.post.trans.net_mean","timber.biomass.rev.post.trans.net_sd","timber.cuft.annualavg_mean","timber.cuft.annualavg_sd","biomass.cut.mtons_mean","biomass.cut.mtons_sd","cumulative.sequestration.allpools.mtons.carbon.decadeavg_mean","cumulative.sequestration.allpools.mtons.carbon.decadeavg_sd"
"132","2","HADGEM2",8.5,"(10,20]",895701.884055296,282951.573188932,2355815.8477185,1632524.11928398,1460113.96366321,1544611.4712056,3200.37719486941,1414.11285620909,280123.786234818,119393.604859647,306978.900471025,8338.18528737103,16863.3430661019,432.736156818915,284501.356933013,49258.7188457226
"133","2","HADGEM2",8.5,"(20,30]",537137.536141876,118970.356220051,2254362.18819649,2200156.98279233,1717224.65205462,2143889.95845891,1253.17483457426,528.228511684865,153364.378646022,50114.6155825567,180555.222456166,3655.53030558928,10413.2409022272,214.279116819731,419191.213672023,48422.1667293271
"134","2","HADGEM2",8.5,"(30,40]",438319.296501881,198992.946259036,1548021.8676339,1319918.1600701,1109702.57113202,1223780.20700146,1710.57773990518,1157.26908411955,192161.89570815,112410.947239484,200273.709116131,18652.6101228297,9664.06078366955,741.376343300721,560703.184824556,54686.6706016398
"135","2","HADGEM2",8.5,"(40,50]",566732.503565893,116464.261272384,1674103.68372006,1500722.24839538,1107371.18015417,1476364.78714102,1152.38124862998,404.565874942649,155078.668985835,45423.7541040488,189229.300155014,10824.1633728166,10974.1970765085,591.60823588428,719176.421313823,54120.659166808
"136","2","HADGEM2",8.5,"(50,60]",589489.775123867,239438.947427813,1993905.42298467,1861486.07488544,1404415.6478608,1832893.97975923,1578.02696852518,1071.11979320277,183483.918867782,96706.3643096689,202127.158572227,25451.1995467633,11010.5305195883,1056.86692686222,884789.035693372,45372.0751875989
"137","2","HADGEM2",8.5,"(60,70]",986764.327858847,271610.9275217,2848923.71236539,1934959.04035195,1862159.38450654,1865866.52544221,1788.29878315836,1007.58450104709,220582.042518972,89573.5891467363,268820.774733501,29470.1056531759,17181.6404192421,1385.89698303964,999826.799104163,47400.9164709091
"138","2","HADGEM2",8.5,"(70,80]",889139.070984763,456086.783964336,2289396.64699112,1725515.76671249,1400257.57600636,1653107.26644424,2165.59009423463,1857.4445863782,244015.910480703,161435.900082684,272695.823067381,49344.3444272947,15347.677097809,2224.14623242927,1111306.20100442,68376.8145711748
"139","2","HADGEM2",8.5,"(80,90]",1162841.44335043,321402.668894608,2774456.9074163,1887675.57817594,1611615.46406586,1821181.92252827,2025.54011490914,1004.60004765378,256084.813246231,86992.0767999317,312175.591465355,21714.7746295336,19588.9606729916,770.489309333126,1183878.73958204,99271.5536859159
"140","2","HADGEM2",8.5,"(90,100]",843434.057309101,375881.229411151,2854863.20362604,2726550.51740094,2011429.14631694,2555655.36951604,2172.43958317659,1453.93574907259,262825.188172861,141395.237942861,287216.534196363,21913.6752369673,15084.1178562886,621.402308993831,1282845.26932401,106414.232694153
"141","2","MIROC5",4.5,"(0,10]",1257698.163892,97719.9177029065,2336674.5975643,1280763.94815604,1078976.4336723,1278015.00765731,3025.9083501111,401.44965997295,264704.617212268,26145.6902273553,321487.914722151,7111.74810156862,21883.6884051144,283.177822939604,112659.913213159,65993.1994859273
"142","2","MIROC5",4.5,"(10,20]",793121.141442745,282036.982128254,1825928.45694034,1450002.85746441,1032807.3154976,1269006.15902764,2688.22506689764,1211.32719428855,242637.971297531,98386.2121422407,268595.085371532,18324.2728457237,15151.0691265244,940.6873327963,279136.258387522,64202.6247315056
"143","2","MIROC5",4.5,"(20,30]",493458.885183209,114010.112564382,1578082.74987224,1165613.49482224,1084623.86468903,1122738.7975271,1206.9741079611,489.957336568283,148739.826041975,44485.2395277108,175564.947994339,13243.7088002819,9858.20784175932,847.181473808379,431242.356054363,85489.7016440054
"144","2","MIROC5",4.5,"(30,40]",374883.922799263,143148.131369021,2001329.81819038,1267929.69601234,1626445.89539111,1260835.25899879,1668.13861894977,779.255062997608,193245.982882421,81103.1912401441,200398.380574707,11420.5498030627,9380.06684575422,351.915204784173,586629.31703123,104929.017301307
"145","2","MIROC5",4.5,"(40,50]",431425.877446058,95797.4196303153,2998840.14232471,2620298.95272684,2567414.26487865,2601891.79312053,955.971251961834,366.289517628322,135966.034121087,42619.680983633,165623.092181705,21479.088679727,9144.53179373924,1028.06111775813,740265.934962032,146397.952560682
"146","2","MIROC5",4.5,"(50,60]",412166.44352115,200476.192871979,1751799.50921685,1838839.99521202,1339633.0656957,1789576.79650671,1338.71518944721,781.100606153667,165074.610142643,76579.5191026698,182465.612021774,34707.5933052479,9065.72339620019,1353.49719964431,865224.997731451,181653.385839541
"147","2","MIROC5",4.5,"(60,70]",638999.628644778,166228.949357702,3172217.01803479,2822102.85799242,2533217.38939002,2779392.20303218,1267.74341732792,605.55254687688,170423.958823615,68266.3438747296,211956.615498882,44434.8058824182,12519.3793694554,2367.88993068476,1031142.36481745,210575.235022634
"148","2","MIROC5",4.5,"(70,80]",463185.649500474,205308.613229121,3276591.30192295,2959759.45078662,2813405.65242248,2899812.07587986,1181.36517027309,675.440468467315,150341.390575499,76905.6041743472,175458.792789806,17420.0787357254,9411.06229716743,895.006115350463,1152969.07897398,247118.924111548
"149","2","MIROC5",4.5,"(80,90]",679748.214482568,177460.184345201,3963361.5218029,3671165.12379875,3283613.30732033,3634614.38743631,1293.89494339297,643.525731407226,175717.120807805,65973.3883511241,219290.270146515,33572.7898332211,12941.7092803903,1757.76019531887,1235279.56580556,264046.718328226
"150","2","MIROC5",4.5,"(90,100]",548578.663655433,252669.280347641,2549063.32534014,2980643.53155111,2000484.6616847,2777225.12116885,1485.59726473486,952.824468947381,183356.933817446,96159.7183043828,202251.026475307,4410.44904206202,10467.7493628149,426.298228156471,1237593.41925334,262731.388008012
"151","2","MIROC5",8.5,"(0,10]",1246491.88953589,85404.5911604468,2382709.65864057,1607336.57079261,1136217.76910468,1578103.11142062,2954.174627874,283.148979529609,260913.815007832,19764.1959775401,318536.897541988,12307.9356856979,21853.9399772446,1096.80235678539,108565.134025463,62121.3318455304
"152","2","MIROC5",8.5,"(10,20]",833437.197439707,229990.480421208,2323870.99285656,2002692.30949986,1490433.79541685,1959405.12360085,3013.17390144418,1102.59962321821,267387.631179362,82372.6458900337,294216.338296595,6679.44790641902,15966.2120931912,167.569356977518,280018.574147638,50903.4721284142
"153","2","MIROC5",8.5,"(20,30]",516204.433680783,101975.992814843,2177462.3235335,2110666.55170685,1661257.88985272,2066253.2408798,1199.62020968341,445.497672269742,149162.642090362,36667.7651835266,178575.382872862,7154.36195543939,10270.0008128673,412.903050851471,450370.003630267,50769.2062612822
"154","2","MIROC5",8.5,"(30,40]",349275.112310523,148168.535183547,2177691.70827024,1701740.71697569,1828416.59595972,1724483.8089524,1401.89582293183,659.105911206203,161509.61409564,60325.6280260924,169704.22504843,18225.5874945746,8125.10048856568,1022.35086839986,601035.852124785,54202.5054200513
"155","2","MIROC5",8.5,"(40,50]",454208.688824686,92909.0418073394,3708288.86459332,3195392.88626338,3254080.17576863,3189133.02170308,1110.73705011865,433.516761812294,152705.13249495,45732.5948841467,181466.716599433,31258.0708855927,9771.90489733599,1380.06809665214,705911.629578791,53361.6235982744
"156","2","MIROC5",8.5,"(50,60]",408736.777159541,178125.815422173,2006411.80982653,1933501.61054373,1597675.03266699,1880757.02777573,1133.7530852741,674.99676214768,146450.81599569,68983.192885506,163917.140031631,32461.215703565,8458.51528494656,1688.7021978792,827226.510815229,75773.7160895669
"157","2","MIROC5",8.5,"(60,70]",787628.092586631,200556.460752332,2810076.39090421,2790994.96180834,2022448.29831758,2769372.8231048,1558.37021013158,803.190130555124,194748.765520203,75324.615889445,237142.671266991,6103.00643911974,14336.4906086217,182.998659126815,974086.721645763,76358.4087406316
"158","2","MIROC5",8.5,"(70,80]",619266.815247707,274664.148656788,2809211.18019633,2611267.7245482,2189944.36494862,2513548.90868648,1680.83490833634,995.106769853814,192724.967739297,98096.822643784,211087.689712455,32466.1480804017,11291.6596154292,1978.92895936653,1083814.13457666,80830.108852471
"159","2","MIROC5",8.5,"(80,90]",944306.999082405,242846.517195477,3878236.23649465,3597255.95169399,2933929.23741225,3501435.96064489,1661.40714466152,689.036855109464,218415.914954035,72317.4476797991,267467.413973561,32108.9943069388,16713.9878466566,1883.14318138423,1114114.3664399,43903.6690852977
"160","2","MIROC5",8.5,"(90,100]",801553.826343707,418125.820407828,4261311.21624348,3835413.97403835,3459757.38989977,3757590.37790496,2257.50892251046,1711.18176663606,247909.593967665,159299.224012522,259744.338135668,33358.6138461143,13627.96855892,1478.65513250348,1129053.3390165,65675.0749721829
"161","3","CanESM",4.5,"(0,10]",5157139.67128337,374138.571862366,5930364.50520117,981599.833101738,773224.833917805,746567.913205189,16656.5277089607,1363.06570293151,1679072.29855563,131044.92293161,3509762.49005168,17731.6220540307,188161.909150405,993.630376293822,-30526.1797672122,34349.3365987678
"162","3","CanESM",4.5,"(10,20]",1808485.23706797,228550.779031436,2897622.4475283,1432838.0374144,1089137.21046034,1310888.80030974,5306.59921296716,445.973031092926,735109.187577069,55736.0851994196,1533790.17818464,15812.7351969119,77085.3207749814,951.85914828523,41377.1015500639,59553.1810378964
"163","3","CanESM",4.5,"(20,30]",1414846.13207631,264394.028074366,2256354.49436179,1198122.5592917,841508.362285486,1035069.15263777,4270.10144515459,737.012339992582,568500.579070449,76461.0359811789,1139299.88804401,57180.0076988861,55191.8816823901,3191.77530234368,212415.372148655,45190.7192288208
"164","3","CanESM",4.5,"(30,40]",1315689.84081844,249469.23876083,2448665.36441351,1430260.90889249,1132975.52359507,1317949.76618324,3352.41223992232,540.36565765782,456121.272307804,53027.4934103896,942922.726322793,20733.3602845653,47444.9080251105,1761.60956642877,351740.974370898,42374.1338531256
"165","3","CanESM",4.5,"(40,50]",1331987.82274893,221248.347594953,2613893.3394136,1832397.39022889,1281905.51666466,1734910.48471872,3232.30921747049,500.462529873916,455175.391462395,73527.8873202979,976665.552355573,21479.1255317454,49948.2519515456,1368.56428599781,481607.172598701,36224.4212787444
"166","3","CanESM",4.5,"(50,60]",1598873.73321818,277879.020477904,2259608.64287205,867448.38559791,660734.909653862,731783.568864821,3549.52298777989,563.686522861137,492813.611755515,78412.6357280953,1078431.56678185,44645.2573504648,57937.037227178,2051.08241300972,581672.757710623,40960.491780152
"167","3","CanESM",4.5,"(60,70]",2223263.511153,543057.269634267,3408923.56544318,1724481.42619502,1185660.05429018,1360665.25556982,4541.27800209094,1527.23045415366,591329.830839496,134131.851404779,1330044.16945054,33770.0621894199,75228.2517665514,1256.85487302612,702349.795196809,39343.489646776
"168","3","CanESM",4.5,"(70,80]",2432281.55690525,522048.754094321,3262335.11062987,1342625.55011075,830053.553724624,1086200.5627193,4702.59853310606,1467.09968706323,648039.500108031,148718.40488485,1472803.84507208,52489.4538693146,83806.5680115813,1672.71461565519,828892.990367054,39854.5331036488
"169","3","CanESM",4.5,"(80,90]",2439047.65847847,478758.646092688,4207687.17716728,2171449.3766546,1768639.51868881,1955245.60291281,4555.34490949971,1107.63844472064,631423.173961409,115318.149425697,1431995.8175389,63903.1035976122,82324.2057041554,3449.23181162411,934393.600231519,42351.7228352331
"170","3","CanESM",4.5,"(90,100]",2523154.69691976,590579.117824566,5129798.83412832,3222924.62200404,2606644.13720856,3143450.88681378,4765.78847440473,1521.78621495223,663019.10904236,163245.125397575,1491119.05964005,113827.677570017,84487.4663154151,6192.00966606765,967162.552554381,42309.6604862332
"171","3","CanESM",8.5,"(0,10]",5072977.04610894,352222.07721152,5723485.89110446,1018517.72531576,650508.844995515,778706.48411046,16267.942837793,1231.0203899866,1632442.80262213,123123.561757175,3419611.79299829,32197.9835214222,184180.296246071,805.58285652894,-43291.6652439705,44466.1098061488
"172","3","CanESM",8.5,"(10,20]",1861769.14709144,237735.327620135,2744330.59092005,1167323.78433021,882561.443828605,1051249.10237171,5168.04276622412,409.547726686367,708971.207577775,67884.8352396741,1479333.95215133,20585.0961353694,75494.3521016706,560.354892343087,51673.2520917202,72051.2443145352
"173","3","CanESM",8.5,"(20,30]",1583477.24483455,310663.887890432,2389996.01488291,926168.82310665,806518.770048359,702633.501382261,4336.12326420463,577.010093212371,566278.02449633,64854.1170012492,1144398.55162801,63060.1574408831,57898.0581802222,4161.62440559335,256952.54295507,78322.551877044
"174","3","CanESM",8.5,"(30,40]",1591004.55833468,390418.826855033,2588565.79091906,1653649.06704522,997561.232584373,1372022.66509192,3644.99977988427,758.537541424099,477957.703875247,84592.6990740393,1003645.93262065,27573.0320591412,53409.473324369,1477.00180527751,422815.640765324,87652.9654043104
